Site_No,old_Site_No,Site,Eastings,Northings,Region,Area,Cattle_Pop,Pig_Pop,Poultry_Pop,Human_Pop,Sheep_Pop,Slope,Applied_Manure,Applied_Slurry,Grazing_Manure,CSOs,STWs,SPR,Agg01,Agg02,Agg03,Agg04,Agg05,Agg06,Agg07,Agg08,Agg09,Agg10,N:S_facing,Elevation
36,27,River_Lee_Girling,537473.6387,194919.4838,London,1166.411536,4.75603008,2.992182489,734.6608918,817.7243852,6.660959783,2.170033627,3314973.417,2130293.083,4897352.417,60,12,36.2037037,8.688199828,0.286821705,42.92420327,31.25236865,0,0.036175711,0,0.745047373,0,16.13178295,0.783022567,94.64849626
37,6,River_Cherwell_Grimsbury,445894.1756,241756.2621,South East,204.0478182,36.71434169,9.605780285,1456.723167,133.1353383,88.92633801,2.50174801,18720837,13958196.67,45192257.33,16,1,38.19359606,2.901477833,0.108374384,46.44334975,46.07389163,0,0,0,0.389162562,0,4.157635468,0.738948695,139.8292512
38,22,River_Great_Ouse_Foxcote,472748.7619,234638.5335,South East,390.3674562,35.89492682,9.469126921,4265.775726,196.9571984,71.9151564,1.655893731,20971009,17067293.2,40552504,25,4,34.99948849,4.979539642,0.570332481,44.40409207,44.22506394,0,0.089514066,0,0.278772379,0,5.498721228,0.842752823,114.0348603
39,40,River_Thames_Farmoor,443958.7958,206488.4604,South East,1608.611199,26.05705924,13.09315759,945.294286,396.31,35.87046742,2.284474004,12122239.47,16698272.13,26404289.13,35,16,16.54266169,7.55721393,0.585199005,38.73631841,43.7108209,0.258084577,0.141791045,0,1.476368159,0,7.583333333,0.709759145,135.425756
40,39,River_Thames_Datchet,498661.8606,176488.0346,South East,7135.751643,23.55059563,13.33388533,1035.920701,503.5696638,35.5250172,2.40720523,11296049.27,11717056.21,22146737.34,219,99,22.09575186,9.248980166,1.438458292,36.47573498,39.09748206,1.778871853,0.292868195,0,0.908847939,0,10.79068786,0.89251826,115.1919585
41,41,River_Thames_HytheEnd,501463.4599,172210.9729,South East,7245.550149,23.29785948,13.16950642,1023.246687,512.0541452,35.10600771,2.391629317,11180203.35,11595409.46,21906328.9,223,101,22.22151267,9.322482338,1.435517385,36.01648428,39.22468486,1.751766173,0.300457127,0,1.011358914,0,10.97021748,0.888405257,114.0892851
42,43,River_Thames_Walton,511473.4032,168810.8878,South East,9325.738286,20.24683846,11.14403431,906.5748525,579.098363,30.56611748,2.468036578,10163112.37,10862196.04,20185479.9,272,127,23.26377107,10.51444218,2.092344035,31.87286589,39.3802212,1.417373564,0.690540105,0,1.044024482,0,13.01750242,0.907701168,111.2191787
43,42,River_Thames_Laleham,504794.0401,169289.0707,South East,8286.076068,21.40027348,11.95873996,943.1395051,579.5327243,32.3084913,2.410960413,10383655.01,10731388.23,20377997.85,236,110,23.35290127,9.731677771,1.403391884,34.24530588,39.19321623,1.543428225,0.322107813,0,1.022168383,0,12.57068443,0.867949634,113.821634
44,26,RIver_Kennet_Fobney,464494.3774,170176.1042,South East,1049.472452,19.80266798,10.44682372,604.5051962,225.6173469,27.68095845,3.211168802,8891857.455,11620145.73,17855599.73,23,9,16.35977011,11.18103448,1.57183908,45.70689655,33.96072797,2.174329502,0.123563218,0,0.358237548,0,4.933908046,0.957934339,151.2704268
45,44,River_Tillingbourne_Shalford,499807.5966,147982.6779,South East,58.3622902,19.67207305,3.370944807,278.4950468,169.9411765,18.39728729,5.211568087,7396135.5,8819559,17182094,0,0,14.14259259,22.64814815,15.96296296,9.648148148,41.77777778,1.87037037,0.925925926,0,0.259259259,0,6.87037037,1.632552923,132.0480136
46,51,River_Wey_Shalford,499626.1799,147327.6313,South East,630.8002412,13.09999071,6.057418849,952.0268993,334.9038817,20.52958473,3.347607916,8271671.857,10233410.29,17983610.57,22,9,19.28953301,17.95813205,6.54589372,18.88405797,41.21095008,0.3784219,3.074074074,0,0.495974235,0,11.44605475,1.083275002,112.9923423
47,32,River_Rother_Robertsbridge,573830.7786,124035.4558,South East,167.179709,22.82165969,9.295765968,1102.564023,107.6384615,46.67619148,5.181570468,9155753.5,9519505,27155004,13,1,48.03636364,21.69090909,2.836363636,4.418181818,67.41818182,0.121212121,0.012121212,0,0.2,0,3.278787879,0.848175546,85.75674889
48,25,River_Itchen_Otterbourne,447054.035,123270.6493,South East,328.2173315,18.78354576,19.73966075,1452.928387,319.0465116,20.92371852,3.287435322,12118801.33,14609319.33,20573950.67,5,3,2.071692308,9.658461538,0.787692308,53.50153846,28.59384615,0.667692308,0.012307692,0,0.172307692,0,6.661538462,0.880894193,111.4494615
49,31,River_Rother_Hardham,503408.1021,117896.3935,South East,356.6963853,17.83061298,1.085493675,1171.776509,173.962963,33.81764566,4.061757258,10941164.5,16416253.75,24817760.5,18,4,25.43068182,19.63352273,5.730113636,20.53125,47.49147727,0.321022727,1.21875,0,0.400568182,0,4.738636364,0.867590314,74.8899054
50,38,River_Test_Testwood,435524.9451,115179.8832,South East,1164.180756,16.62792828,14.20209496,1426.14951,183.7111756,24.2924976,2.969751143,10277518,9727575.583,14818070.58,18,10,8.875647668,13.60103627,2.210708117,48.14507772,28.31001727,2.040587219,0.592400691,0,0.238341969,0,4.884283247,0.664210605,102.0624895
51,19,River_Exe_AllersWTW,294849.3804,114268.179,South West,439.4288328,55.80329387,3.4539956,1676.289289,61.93442623,158.3273269,7.836403055,24652306,27700961.8,79767886.4,14,0,35.29633867,9.464530892,1.851258581,3.647597254,66.52631579,17.11670481,0.28375286,0,0.377574371,0,0.819221968,0.672014717,279.3343054
52,7,RIver_Dart_Littlehempston,280491.8416,62699.01259,South West,271.5378111,44.78373201,2.166980412,141.4414615,105.4158416,67.7685469,7.098520756,20532690,22199098.33,52857696,15,2,30.92740741,8.555555556,3.985185185,2.940740741,32.42222222,37.55185185,13,0,0.055555556,0,1.6,0.730795408,305.7988957
